Date_start,Hour,Power_kW,temp_C,solarRad_W/m2,Power-1,Rolling3,CyclicHour,DayOfWeek,WorkDay,LunchTime,Holidays,Classes,Convolution
2017-03-26 23:00:00,23,106.2423406,11.319166666666668,0.47541666666666665,103.441074,104.17005746666666,0.9659258262890681,6,0.33,1.0,1.0,0.1,0.01568875
2017-03-27 00:00:00,0,103.3383698,11.4775,0.4985,106.2423406,104.3405948,1.0,0,1.0,1.0,1.0,1.0,0.4985
2017-03-27 01:00:00,1,101.5408554,12.083333333333334,0.39458333333333334,103.3383698,103.7071886,0.9659258262890683,0,1.0,1.0,1.0,0.1,0.03945833333333334
2017-03-27 02:00:00,2,97.0846767,11.829166666666666,0.3045,101.5408554,100.65463396666667,0.8660254037844387,0,1.0,1.0,1.0,0.1,0.03045
2017-03-27 03:00:00,3,95.8860156,11.635833333333332,0.5653333333333334,97.0846767,98.1705159,0.7071067811865476,0,1.0,1.0,1.0,0.1,0.05653333333333334
2017-03-27 04:00:00,4,93.3915253,11.945,0.6437499999999999,95.8860156,95.45407253333333,0.5000000000000003,0,1.0,1.0,1.0,0.1,0.064375
2017-03-27 05:00:00,5,100.7850823,12.415833333333333,0.82375,93.3915253,96.68754106666665,0.2588190451025206,0,1.0,1.0,1.0,0.1,0.082375
2017-03-27 06:00:00,6,119.5965592,12.539230769230768,3.9640769230769233,100.7850823,104.5910556,1.2246467991473532e-16,0,1.0,1.0,1.0,0.1,0.39640769230769235
2017-03-27 07:00:00,7,189.0484609,12.625833333333333,53.16583333333333,119.5965592,136.4767008,0.25881904510252035,0,1.0,1.0,1.0,0.1,5.316583333333334
2017-03-27 08:00:00,8,276.4386629,12.9975,183.75333333333333,189.0484609,195.02789433333336,0.4999999999999997,0,1.0,1.0,1.0,0.1,18.375333333333334
2017-03-27 09:00:00,9,330.4290009,13.725,447.56666666666666,276.4386629,265.3053749,0.7071067811865475,0,1.0,1.0,1.0,0.1,44.75666666666667
2017-03-27 10:00:00,10,365.5011489,14.085,615.1916666666667,330.4290009,324.1229375666667,0.8660254037844388,0,1.0,1.0,1.0,0.1,61.51916666666668
2017-03-27 11:00:00,11,369.4304436,14.153333333333334,653.625,365.5011489,355.12019779999997,0.9659258262890683,0,1.0,1.0,1.0,0.1,65.3625
2017-03-27 12:00:00,12,371.4270667,14.093333333333334,595.4499999999999,369.4304436,368.7862197333334,1.0,0,1.0,1.0,1.0,0.1,59.544999999999995
2017-03-27 13:00:00,13,371.8168845,14.541666666666666,738.7166666666667,371.4270667,370.8914649333333,0.9659258262890684,0,1.0,0.85,1.0,0.1,62.790916666666675
2017-03-27 14:00:00,14,343.9695379,14.6475,518.8916666666667,371.8168845,362.4044963666667,0.866025403784439,0,1.0,1.0,1.0,0.1,51.88916666666667
2017-03-27 15:00:00,15,331.6589696,15.034166666666666,576.9333333333333,343.9695379,349.14846400000005,0.7071067811865483,0,1.0,0.85,1.0,0.1,49.03933333333333
2017-03-27 16:00:00,16,337.2174049,14.655833333333334,453.77500000000003,331.6589696,337.6153041333333,0.5000000000000004,0,1.0,1.0,1.0,0.1,45.377500000000005
2017-03-27 17:00:00,17,298.6678225,13.9775,214.70000000000002,337.2174049,322.5147323333333,0.2588190451025207,0,1.0,1.0,1.0,0.1,21.470000000000002
2017-03-27 18:00:00,18,262.3647513,13.58,46.17333333333334,298.6678225,299.4166595666667,2.4492935982947064e-16,0,1.0,1.0,1.0,0.1,4.617333333333334
2017-03-27 19:00:00,19,213.7577933,13.225833333333334,0.5814166666666666,262.3647513,258.2634557,0.25881904510252024,0,1.0,1.0,1.0,0.1,0.05814166666666666
2017-03-27 20:00:00,20,169.0912022,13.07,0.3853333333333333,213.7577933,215.07124893333335,0.5,0,1.0,1.0,1.0,0.1,0.038533333333333336
2017-03-27 21:00:00,21,148.0175603,12.933333333333332,0.5400833333333334,169.0912022,176.9555186,0.7071067811865474,0,1.0,1.0,1.0,0.1,0.05400833333333334
2017-03-27 22:00:00,22,131.1526907,12.588333333333333,0.39458333333333334,148.0175603,149.4204844,0.8660254037844384,0,1.0,1.0,1.0,0.1,0.03945833333333334
2017-03-27 23:00:00,23,121.7722465,12.255,0.32075,131.1526907,133.64749916666668,0.9659258262890681,0,1.0,1.0,1.0,0.1,0.032075
2017-03-28 00:00:00,0,108.0661992,12.102500000000001,0.19158333333333333,121.7722465,120.33037879999999,1.0,1,1.0,1.0,1.0,1.0,0.19158333333333333
2017-03-28 01:00:00,1,105.5230294,12.069166666666668,0.4038333333333333,108.0661992,111.78715836666667,0.9659258262890683,1,1.0,1.0,1.0,0.1,0.040383333333333334
2017-03-28 02:00:00,2,105.0704055,11.8825,0.27925,105.5230294,106.21987803333333,0.8660254037844387,1,1.0,1.0,1.0,0.1,0.027925000000000002
2017-03-28 03:00:00,3,103.8906435,11.144166666666665,0.12,105.0704055,104.82802613333332,0.7071067811865476,1,1.0,1.0,1.0,0.1,0.012
2017-03-28 04:00:00,4,104.3594939,10.756666666666668,0.050749999999999997,103.8906435,104.44018096666667,0.5000000000000003,1,1.0,1.0,1.0,0.1,0.005075
2017-03-28 05:00:00,5,115.9761407,10.458333333333334,0.06225,104.3594939,108.07542603333333,0.2588190451025206,1,1.0,1.0,1.0,0.1,0.0062250000000000005
2017-03-28 06:00:00,6,128.0268941,9.913846153846153,6.047153846153846,115.9761407,116.1208429,1.2246467991473532e-16,1,1.0,1.0,1.0,0.1,0.6047153846153847
2017-03-28 07:00:00,7,199.5546424,10.295,57.041666666666664,128.0268941,147.85255906666666,0.25881904510252035,1,1.0,1.0,1.0,0.1,5.704166666666667
2017-03-28 08:00:00,8,295.7228082,10.621666666666666,155.24166666666665,199.5546424,207.7681149,0.4999999999999997,1,1.0,1.0,1.0,0.1,15.524166666666666
2017-03-28 09:00:00,9,349.84334,10.6975,256.47499999999997,295.7228082,281.7069302,0.7071067811865475,1,1.0,1.0,1.0,0.1,25.647499999999997
2017-03-28 10:00:00,10,374.7571263,11.295833333333334,344.8416666666667,349.84334,340.10775816666666,0.8660254037844388,1,1.0,1.0,1.0,0.1,34.484166666666674
2017-03-28 11:00:00,11,391.7760522,13.933333333333332,768.2083333333334,374.7571263,372.12550616666664,0.9659258262890683,1,1.0,1.0,1.0,0.1,76.82083333333334
2017-03-28 12:00:00,12,393.9626208,16.145,835.0,391.7760522,386.83193309999996,1.0,1,1.0,1.0,1.0,0.1,83.5
2017-03-28 13:00:00,13,351.8416812,16.415833333333335,775.7333333333332,393.9626208,379.19345139999996,0.9659258262890684,1,1.0,0.85,1.0,0.1,65.93733333333333
2017-03-28 14:00:00,14,350.9509418,16.94333333333333,727.2833333333333,351.8416812,365.5850812666667,0.866025403784439,1,1.0,1.0,1.0,0.1,72.72833333333334
2017-03-28 15:00:00,15,349.3428002,16.73,594.6,350.9509418,350.7118077333333,0.7071067811865483,1,1.0,0.85,1.0,0.1,50.541000000000004
2017-03-28 16:00:00,16,340.8286602,16.485,433.52500000000003,349.3428002,347.0408007333333,0.5000000000000004,1,1.0,1.0,1.0,0.1,43.352500000000006
2017-03-28 17:00:00,17,300.2118217,16.081666666666667,236.0583333333333,340.8286602,330.12776069999995,0.2588190451025207,1,1.0,1.0,1.0,0.1,23.605833333333333
2017-03-28 18:00:00,18,262.1769057,14.71,53.79558333333333,300.2118217,301.0724625333333,2.4492935982947064e-16,1,1.0,1.0,1.0,0.1,5.379558333333334
2017-03-28 19:00:00,19,227.0253433,13.479166666666666,0.5260833333333333,262.1769057,263.1380235666666,0.25881904510252024,1,1.0,1.0,1.0,0.1,0.05260833333333334
2017-03-28 20:00:00,20,175.4607716,13.286666666666667,0.38066666666666665,227.0253433,221.55434019999998,0.5,1,1.0,1.0,1.0,0.1,0.038066666666666665
2017-03-28 21:00:00,21,144.4792288,13.151666666666666,0.43849999999999995,175.4607716,182.32178123333333,0.7071067811865474,1,1.0,1.0,1.0,0.1,0.04385
2017-03-28 22:00:00,22,134.8553871,12.948461538461537,0.3792307692307692,144.4792288,151.59846249999998,0.8660254037844384,1,1.0,1.0,1.0,0.1,0.03792307692307692
2017-03-28 23:00:00,23,131.684729,12.718461538461538,0.2173076923076923,134.8553871,137.00644830000002,0.9659258262890681,1,1.0,1.0,1.0,0.1,0.021730769230769234
2017-03-29 00:00:00,0,121.7942,12.49,0.05758333333333334,131.684729,129.44477203333332,1.0,2,1.0,1.0,1.0,1.0,0.05758333333333334
2017-03-29 01:00:00,1,119.2622933,12.125,0.13375,121.7942,124.2470741,0.9659258262890683,2,1.0,1.0,1.0,0.1,0.013375000000000001
2017-03-29 02:00:00,2,115.1976505,11.370833333333332,0.13841666666666666,119.2622933,118.75138126666667,0.8660254037844387,2,1.0,1.0,1.0,0.1,0.013841666666666667
2017-03-29 03:00:00,3,111.9970211,11.006666666666666,0.15925,115.1976505,115.48565496666667,0.7071067811865476,2,1.0,1.0,1.0,0.1,0.015925
2017-03-29 04:00:00,4,108.4516263,10.315833333333332,0.23991666666666667,111.9970211,111.8820993,0.5000000000000003,2,1.0,1.0,1.0,0.1,0.023991666666666668
2017-03-29 05:00:00,5,118.2709496,9.715,0.27925,108.4516263,112.90653233333332,0.2588190451025206,2,1.0,1.0,1.0,0.1,0.027925000000000002
2017-03-29 06:00:00,6,129.6508804,9.024166666666668,10.376333333333333,118.2709496,118.79115209999999,1.2246467991473532e-16,2,1.0,1.0,1.0,0.1,1.0376333333333334
2017-03-29 07:00:00,7,200.6832432,9.7075,150.96166666666667,129.6508804,149.5350244,0.25881904510252035,2,1.0,1.0,1.0,0.1,15.096166666666669
2017-03-29 08:00:00,8,292.418711,11.261666666666665,353.6333333333334,200.6832432,207.58427819999997,0.4999999999999997,2,1.0,1.0,1.0,0.1,35.36333333333334
2017-03-29 09:00:00,9,330.3022433,14.049999999999999,528.6166666666667,292.418711,274.46806583333336,0.7071067811865475,2,1.0,1.0,1.0,0.1,52.86166666666667
2017-03-29 10:00:00,10,347.6264183,16.599166666666665,637.2916666666666,330.3022433,323.44912419999997,0.8660254037844388,2,1.0,1.0,1.0,0.1,63.729166666666664
2017-03-29 11:00:00,11,340.0142808,17.455833333333334,776.75,347.6264183,339.3143141333333,0.9659258262890683,2,1.0,1.0,1.0,0.1,77.67500000000001
2017-03-29 12:00:00,12,340.4571688,19.401666666666667,799.1666666666666,340.0142808,342.6992893,1.0,2,1.0,1.0,1.0,0.1,79.91666666666667
2017-03-29 13:00:00,13,318.9916092,19.0075,807.5833333333334,340.4571688,333.1543529333333,0.9659258262890684,2,1.0,0.85,1.0,0.1,68.64458333333333
2017-03-29 14:00:00,14,332.4473866,19.098333333333333,735.775,318.9916092,330.6320548666667,0.866025403784439,2,1.0,1.0,1.0,0.1,73.5775
2017-03-29 15:00:00,15,322.1389775,19.269166666666667,609.6333333333333,332.4473866,324.52599110000006,0.7071067811865483,2,1.0,0.85,1.0,0.1,51.81883333333333
2017-03-29 16:00:00,16,320.2028697,18.979166666666668,437.4583333333333,322.1389775,324.9297446,0.5000000000000004,2,1.0,1.0,1.0,0.1,43.74583333333334
2017-03-29 17:00:00,17,294.8013339,18.539166666666667,242.36666666666667,320.2028697,312.38106036666665,0.2588190451025207,2,1.0,1.0,1.0,0.1,24.236666666666668
2017-03-29 18:00:00,18,246.7472223,18.141666666666666,54.86566666666667,294.8013339,287.2504753,2.4492935982947064e-16,2,1.0,1.0,1.0,0.1,5.4865666666666675
2017-03-29 19:00:00,19,187.2923718,17.3725,0.08308333333333333,246.7472223,242.94697599999998,0.25881904510252024,2,1.0,1.0,1.0,0.1,0.008308333333333333
2017-03-29 20:00:00,20,152.0967115,17.00583333333333,0.0,187.2923718,195.37876853333333,0.5,2,1.0,1.0,1.0,0.1,0.0
2017-03-29 21:00:00,21,129.3208143,16.480833333333333,0.0,152.0967115,156.23663253333334,0.7071067811865474,2,1.0,1.0,1.0,0.1,0.0
2017-03-29 22:00:00,22,125.3970557,15.856666666666667,0.0,129.3208143,135.6048605,0.8660254037844384,2,1.0,1.0,1.0,0.1,0.0
2017-03-29 23:00:00,23,132.2683103,15.525,0.0,125.3970557,128.99539343333333,0.9659258262890681,2,1.0,1.0,1.0,0.1,0.0
2017-03-30 00:00:00,0,121.1640391,14.929166666666667,0.0,132.2683103,126.27646836666668,1.0,3,1.0,1.0,1.0,1.0,0.0
2017-03-30 01:00:00,1,113.6765593,14.314166666666667,0.0,121.1640391,122.36963623333332,0.9659258262890683,3,1.0,1.0,1.0,0.1,0.0
2017-03-30 02:00:00,2,107.2753005,13.336666666666666,0.03916666666666666,113.6765593,114.03863296666667,0.8660254037844387,3,1.0,1.0,1.0,0.1,0.003916666666666666
2017-03-30 03:00:00,3,101.9058562,12.888333333333334,0.2816666666666667,107.2753005,107.61923866666666,0.7071067811865476,3,1.0,1.0,1.0,0.1,0.02816666666666667
2017-03-30 04:00:00,4,100.9074492,12.42,0.26525,101.9058562,103.36286863333333,0.5000000000000003,3,1.0,1.0,1.0,0.1,0.026525
2017-03-30 05:00:00,5,102.8309576,12.515833333333333,0.28158333333333335,100.9074492,101.881421,0.2588190451025206,3,1.0,1.0,1.0,0.1,0.028158333333333337
2017-03-30 06:00:00,6,129.4754433,12.5525,8.014833333333334,102.8309576,111.07128336666666,1.2246467991473532e-16,3,1.0,1.0,1.0,0.1,0.8014833333333334
2017-03-30 07:00:00,7,200.0910714,12.533333333333333,98.14416666666666,129.4754433,144.13249076666668,0.25881904510252035,3,1.0,1.0,1.0,0.1,9.814416666666666
2017-03-30 08:00:00,8,283.6991626,13.67,284.02500000000003,200.0910714,204.42189243333334,0.4999999999999997,3,1.0,1.0,1.0,0.1,28.402500000000003
2017-03-30 09:00:00,9,321.0126675,15.776666666666666,445.05833333333334,283.6991626,268.2676338333333,0.7071067811865475,3,1.0,1.0,1.0,0.1,44.505833333333335
2017-03-30 10:00:00,10,346.5157621,18.287499999999998,652.3249999999999,321.0126675,317.07586406666667,0.8660254037844388,3,1.0,1.0,1.0,0.1,65.2325
2017-03-30 11:00:00,11,343.3880565,18.645833333333332,723.9250000000001,346.5157621,336.9721620333333,0.9659258262890683,3,1.0,1.0,1.0,0.1,72.39250000000001
2017-03-30 12:00:00,12,329.9017351,18.561666666666667,650.5749999999999,343.3880565,339.9351845666667,1.0,3,1.0,1.0,1.0,0.1,65.05749999999999
2017-03-30 13:00:00,13,317.5041164,18.25916666666667,707.65,329.9017351,330.26463599999994,0.9659258262890684,3,1.0,0.85,1.0,0.1,60.15025
2017-03-30 14:00:00,14,325.6897175,17.581666666666667,743.1416666666668,317.5041164,324.3651896666666,0.866025403784439,3,1.0,1.0,1.0,0.1,74.31416666666668
2017-03-30 15:00:00,15,340.2221709,16.854166666666668,584.3583333333333,325.6897175,327.8053349333333,0.7071067811865483,3,1.0,0.85,1.0,0.1,49.670458333333336
2017-03-30 16:00:00,16,340.6587592,15.967500000000001,279.06666666666666,340.2221709,335.5235492,0.5000000000000004,3,1.0,1.0,1.0,0.1,27.906666666666666
2017-03-30 17:00:00,17,302.2701055,15.459166666666667,171.79999999999998,340.6587592,327.7170118666666,0.2588190451025207,3,1.0,1.0,1.0,0.1,17.18
2017-03-30 18:00:00,18,248.7455635,15.243333333333334,69.36416666666666,302.2701055,297.22480939999997,2.4492935982947064e-16,3,1.0,1.0,1.0,0.1,6.936416666666666
2017-03-30 19:00:00,19,208.9167602,14.649166666666666,0.8951666666666666,248.7455635,253.3108097333333,0.25881904510252024,3,1.0,1.0,1.0,0.1,0.08951666666666666
2017-03-30 20:00:00,20,171.8413076,14.654166666666667,0.20075,208.9167602,209.83454376666666,0.5,3,1.0,1.0,1.0,0.1,0.020075000000000003
2017-03-30 21:00:00,21,153.7983941,14.58,0.26308333333333334,171.8413076,178.18548729999998,0.7071067811865474,3,1.0,1.0,1.0,0.1,0.026308333333333336
2017-03-30 22:00:00,22,142.1032874,14.588333333333333,0.15233333333333335,153.7983941,155.91432969999997,0.8660254037844384,3,1.0,1.0,1.0,0.1,0.015233333333333335
2017-03-30 23:00:00,23,139.8657485,14.509166666666665,0.226,142.1032874,145.25580999999997,0.9659258262890681,3,1.0,1.0,1.0,0.1,0.022600000000000002
2017-03-31 00:00:00,0,134.8945216,14.308333333333332,0.24000000000000002,139.8657485,138.95451916666664,1.0,4,1.0,1.0,1.0,1.0,0.24000000000000002
2017-03-31 01:00:00,1,123.2267136,14.190833333333332,0.2745,134.8945216,132.66232789999998,0.9659258262890683,4,1.0,1.0,1.0,0.1,0.027450000000000002
2017-03-31 02:00:00,2,114.4613492,13.981666666666667,0.27,123.2267136,124.19419479999998,0.8660254037844387,4,1.0,1.0,1.0,0.1,0.027000000000000003
2017-03-31 03:00:00,3,111.2149038,13.271666666666667,0.30691666666666667,114.4613492,116.30098886666666,0.7071067811865476,4,1.0,1.0,1.0,0.1,0.03069166666666667
2017-03-31 04:00:00,4,117.3015594,12.600833333333334,0.2976666666666667,111.2149038,114.32593746666664,0.5000000000000003,4,1.0,1.0,1.0,0.1,0.02976666666666667
2017-03-31 05:00:00,5,121.3272586,12.099166666666667,0.24466666666666667,117.3015594,116.6145739333333,0.2588190451025206,4,1.0,1.0,1.0,0.1,0.024466666666666668
2017-03-31 06:00:00,6,128.832683,11.869166666666667,16.261833333333332,121.3272586,122.48716699999999,1.2246467991473532e-16,4,1.0,1.0,1.0,0.1,1.6261833333333333
2017-03-31 07:00:00,7,198.3613265,12.484615384615385,153.69230769230768,128.832683,149.50708936666663,0.25881904510252035,4,1.0,1.0,1.0,0.1,15.369230769230768
2017-03-31 08:00:00,8,267.6748257,13.5175,339.3833333333333,198.3613265,198.28961173333332,0.4999999999999997,4,1.0,1.0,1.0,0.1,33.93833333333333
2017-03-31 09:00:00,9,279.7836127,14.518333333333333,513.1999999999999,267.6748257,248.60658829999997,0.7071067811865475,4,1.0,1.0,1.0,0.1,51.31999999999999
2017-03-31 10:00:00,10,316.4723019,14.976666666666667,473.575,279.7836127,287.9769134333333,0.8660254037844388,4,1.0,1.0,1.0,0.1,47.3575
2017-03-31 11:00:00,11,319.9966977,15.848333333333334,670.375,316.4723019,305.41753743333334,0.9659258262890683,4,1.0,1.0,1.0,0.1,67.03750000000001
2017-03-31 12:00:00,12,323.1244033,16.425833333333333,772.1666666666666,319.9966977,319.86446763333333,1.0,4,1.0,1.0,1.0,0.1,77.21666666666667
2017-03-31 13:00:00,13,324.5450811,16.375833333333333,728.3416666666667,323.1244033,322.55539403333336,0.9659258262890684,4,1.0,0.85,1.0,0.1,61.90904166666667
2017-03-31 14:00:00,14,300.4220026,15.786666666666667,660.4,324.5450811,316.03049566666664,0.866025403784439,4,1.0,1.0,1.0,0.1,66.04
2017-03-31 15:00:00,15,302.7210113,16.525000000000002,597.75,300.4220026,309.229365,0.7071067811865483,4,1.0,0.85,1.0,0.1,50.80875
2017-03-31 16:00:00,16,336.7510362,16.093333333333334,402.78333333333336,302.7210113,313.2980167,0.5000000000000004,4,1.0,1.0,1.0,0.1,40.278333333333336
2017-03-31 17:00:00,17,299.5219091,15.005833333333333,217.28333333333333,336.7510362,312.9979855333333,0.2588190451025207,4,1.0,1.0,1.0,0.1,21.728333333333335
2017-03-31 18:00:00,18,244.0578231,14.133333333333333,56.34133333333333,299.5219091,293.44358946666665,2.4492935982947064e-16,4,1.0,1.0,1.0,0.1,5.634133333333334
2017-03-31 19:00:00,19,204.7434953,13.443333333333333,0.5028333333333334,244.0578231,249.44107583333334,0.25881904510252024,4,1.0,1.0,1.0,0.1,0.05028333333333334
2017-03-31 20:00:00,20,167.53384,13.390833333333333,0.26766666666666666,204.7434953,205.44505279999998,0.5,4,1.0,1.0,1.0,0.1,0.026766666666666668
2017-03-31 21:00:00,21,137.5253145,13.185,0.307,167.53384,169.9342166,0.7071067811865474,4,1.0,1.0,1.0,0.1,0.0307
2017-03-31 22:00:00,22,130.3757277,13.0625,0.3854166666666667,137.5253145,145.14496073333333,0.8660254037844384,4,1.0,1.0,1.0,0.1,0.03854166666666667
2017-03-31 23:00:00,23,121.8528063,13.044166666666667,0.30216666666666664,130.3757277,129.9179495,0.9659258262890681,4,1.0,1.0,1.0,0.1,0.030216666666666666
2017-04-01 00:00:00,0,117.1139047,13.058333333333332,0.36233333333333334,121.8528063,123.11414623333333,1.0,5,0.33,1.0,1.0,1.0,0.11957000000000001
